requested,resolved,key,bbg_style_ticker,provider_symbol,exchange,mic,currency,confidence,notes
Legrand SA,Legrand SA,LR,LR FP,LR,Euronext,XPAR,EUR,high,
Metso Oyj,Metso Oyj,METSO,METSO FH,0MGI,LSE,XLON,EUR,high,Priced via LSE international order book line (SEK/EUR native prices; identical issuer).
Moog Inc (A),Moog Inc.,MOGA,MOG/A US,MOG.A,NYSE,XNYS,USD,high,
Melrose Industries plc,Melrose Industries PLC,MRO,MRO LN,MRO,LSE,XLON,GBp,high,
Nexans SA,Nexans S.A.,NEX,NEX FP,NEX,Euronext,XPAR,EUR,high,
NSK Ltd,NSK Ltd.,NSK,6471 JP,6471,JPX,XJPX,JPY,high,
NTN Corp,NTN Corporation,NTN,6472 JP,6472,JPX,XJPX,JPY,high,
Oshkosh,Oshkosh Corporation,OSK,OSK US,OSK,NYSE,XNYS,USD,high,
Otis Worldwide Corp,Otis Worldwide Corporation,OTIS,OTIS US,OTIS,NYSE,XNYS,USD,high,
PACCAR Inc,PACCAR Inc.,PCAR,PCAR US,PCAR,NASDAQ,XNGS,USD,high,
Prysmian SpA,Prysmian S.p.A.,PRY,PRY IM,PRY,MTA,XMIL,EUR,high,
Rockwell Automation,"Rockwell Automation, Inc.",ROK,ROK US,ROK,NYSE,XNYS,USD,high,
Rotork plc,Rotork plc,ROR,ROR LN,ROR,LSE,XLON,GBp,high,
Rolls-Royce Holdings plc,Rolls-Royce Holdings plc,RR,RR/ LN,RR,LSE,XLON,GBp,high,
RTX Corp,RTX Corporation,RTX,RTX US,RTX,NYSE,XNYS,USD,high,
Rexel SA,Rexel SA,RXL,RXL FP,RXL,Euronext,XPAR,EUR,high,
Sandvik AB,Sandvik AB (publ),SAND,SAND SS,0HC0,LSE,XLON,SEK,high,Priced via LSE international order book line (SEK/EUR native prices; identical issuer).
Schindler Holding (PC),Schindler Holding AG Participation Certificate,SCHP,SCHP SW,SCHP,SIX,XSWX,CHF,high,
Siemens AG,Siemens Aktiengesellschaft,SIE,SIE GY,SIE,XETR,XETR,EUR,high,
SKF AB (B),SKF AB Class B shares,SKFB,SKFB SS,0NWX,LSE,XLON,SEK,high,Priced via LSE international order book line (SEK/EUR native prices; identical issuer).
Smiths Group plc,Smiths Group plc,SMIN,SMIN LN,SMIN,LSE,XLON,GBp,high,
Spirax Group plc,Spirax Group plc,SPX,SPX LN,SPX,LSE,XLON,GBp,high,
Stadler Rail AG,Stadler Rail AG,SRAIL,SRAIL SW,SRAIL,SIX,XSWX,CHF,high,
Schneider Electric SE,Schneider Electric SE,SU,SU FP,SU,Euronext,XPAR,EUR,high,
TransDigm,TransDigm Group Inc.,TDG,TDG US,TDG,NYSE,XNYS,USD,high,
Terex,Terex Corporation,TEX,TEX US,TEX,NYSE,XNYS,USD,high,
Timken,Timken Co.,TKR,TKR US,TKR,NYSE,XNYS,USD,high,
Trane Technologies,Trane Technologies plc,TT,TT US,TT,NYSE,XNYS,USD,high,
Vistance Networks,"Vistance Networks, Inc.",VISN,VISN US,VISN,NASDAQ,XNGS,USD,high,"Resolved via provider symbol search: Vistance Networks Inc, NASDAQ/XNGS. Fundamentals heavily distorted by restructuring — treat multiples as NM."
Volvo AB (B),Volvo AB (B),VOLVB,VOLVB SS,0HTP,LSE,XLON,SEK,high,Priced via LSE international order book line (SEK/EUR native prices; identical issuer).
Vertiv Holdings,Vertiv Holdings Co,VRT,VRT US,VRT,NYSE,XNYS,USD,high,
Wabtec,Wabtec Corporation,WAB,WAB US,WAB,NYSE,XNYS,USD,high,
WESCO International,Wesco International Inc.,WCC,WCC US,WCC,NYSE,XNYS,USD,high,
Weir Group plc,Weir Group plc,WEIR,WEIR LN,WEIR,LSE,XLON,GBp,high,
Watts Water,Watts Water Technologies Inc.,WTS,WTS US,WTS,NYSE,XNYS,USD,high,
Woodward,Woodward Inc.,WWD,WWD US,WWD,NASDAQ,XNGS,USD,high,
